ID;Nome;Quantidade;Preco
1001;Smartphone Samsung Galaxy A06 128GB 4GB RAM Branco 6,7" Câm. Dupla + Selfie 8MP;16;649.01
1002;Smartphone Samsung Galaxy A15 6,5" 256GB Verde Claro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip;19;1439.10
1003;Fone de Ouvido Philips Série 1000 TAUE101BK/00 - Intra-auricular com Microfone Preto;30;29.30
1004;Tablet Positivo Twist Tab+ T780F 7” 64GB 2GB RAM - Android 11 GO Edition Wi-Fi;50;368.10
1005;Tablet Positivo Vision Tab 10,1" 128GB 4GB RAM Android 13 Octa Core Wi-Fi 4G;30;899.10
1006;Celular Samsung Galaxy A06 (128GB), 4GB RAM, Tela 6.7", Câm. Traseira 50+2MP, Frontal 8MP;10;759.05
1007;Samsung Galaxy S23 FE 5G Smartphone Android 128GB Verde;12;2339.10
1008;Apple iPhone 13 128GB Estelar Tela 6,1” 12MP;17;3599.10
1009;Fone de Ouvido Preto Bluetooth Academia Buds Philips TAT1209 TWS Earbuds Fone Sem Fio Cancelamento de Ruído;27;161.41
1010;Notebook Inspiron 15;6;4198.00
1011;Fone De Ouvido Qcy H3 Anc, Bluetooth 5.3, Cancelamento De Ruído, Com Microfone Headphone Headset;17;398.90
1012;Monitor 24" FHD 100Hz 1ms AOC Série B35 24B35HM2 Widescreen HDMI e VGA;21;569.05
1013;Apple iPhone 15 128GB Preto;17;4679.00
